age,assists,blocks,defensive_rebound,effective_field_goal_percentage,field_goal_attempts,field_goal_made,field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_percentage,games_played,games_started,minutes_played,name,offensive_rebound,personal_fouls,points,position,ranking,steals,team,three_pt_percentage,three_pts_attempts,three_pts_made,total_rebound,turnover,two_pts_attempts,two_pts_made,two_pts_percentage
23,,,,,,,.435,,,.621,61,35,1618,Santi Aldama,,,,PF,4,,,.349,,,,,,,.534
25,,,,,,,.439,,,.800,82,20,1921,Nickeil Alexander-Walker,,,,SG,5,,,.391,,,,,,,.517
24,19,3,23,.392,51,19,.373,20,16,.800,24,1,171,Dalano Banton,12,20,56,PG,27,5,,.125,16,2,35,10,35,17,.486
24,108,17,114,.471,449,183,.408,100,78,.780,30,8,876,Dalano Banton,29,44,501,PG,27,28,,.311,183,57,143,67,266,126,.474
28,,,,,,,.499,,,.878,75,74,2513,Grayson Allen,,,,SG,6,,,.461,,,,,,,.570
25,,,,,,,.634,,,.742,77,77,2442,Jarrett Allen,,,,C,7,,,.000,,,,,,,.638
20,36,14,68,.509,113,56,.496,42,29,.690,33,1,420,Dominick Barlow,45,47,144,PF,28,12,,.333,9,3,113,9,104,53,.510
31,99,12,182,.576,732,347,.474,196,157,.801,82,82,2381,Harrison Barnes,67,98,1000,PF,29,54,,.387,385,149,249,58,347,198,.571
24,,,,.529,,,.501,,,.616,74,18,,Precious Achiuwa,,,,PF-C,1,,TOT,.268,,,,,,,.562
24,,,,,,,.261,,,.500,5,0,125,Timmy Allen,,,,SF,8,,,.000,,,,,,,.375
25,,,,,,,.412,,,.673,56,0,1028,Jose Alvarado,,,,PG,9,,,.377,,,,,,,.464
22,363,88,353,.528,942,447,.475,251,196,.781,60,60,2094,Scottie Barnes,141,118,1191,SG,30,75,,.341,296,101,494,165,646,346,.536
23,193,22,262,.547,880,436,.495,291,208,.715,58,58,1838,RJ Barrett,53,129,1170,SG,31,31,TOT,.360,250,90,315,126,630,346,.549
24,,,,.497,,,.459,,,.571,25,0,,Precious Achiuwa,,,,C,1,,,.277,,,,,,,.528
30,,,,,,,.460,,,.708,79,10,1782,Kyle Anderson,,,,PF,10,,,.229,,,,,,,.488
29,,,,,,,.611,,,.657,73,73,2567,Giannis Antetokounmpo,,,,PF,11,,,.274,,,,,,,.645
23,63,9,92,.478,388,164,.423,124,103,.831,26,26,766,RJ Barrett,19,45,474,SG,31,12,,.331,130,43,111,47,258,121,.469
23,130,13,170,.601,492,272,.553,167,105,.629,32,32,1072,RJ Barrett,34,84,696,SG,31,19,,.392,120,47,204,79,372,225,.605
24,,,,.547,,,.525,,,.643,49,18,,Precious Achiuwa,,,,PF,1,,,.260,,,,,,,.578
26,,,,.529,,,.521,,,.755,71,71,,Bam Adebayo,,,,C,2,,,.357,,,,,,,.528
31,,,,,,,.533,,,.000,34,0,155,Thanasis Antetokounmpo,,,,PF,12,,,.000,,,,,,,.552
23,,,,,,,.435,,,.826,81,0,1817,Cole Anthony,,,,PG,13,,,.338,,,,,,,.490
26,,,,,,,.489,,,.753,50,50,1702,OG Anunoby,,,,SF,14,,TOT,.382,,,,,,,.581
23,21,17,53,.725,40,29,.725,6,5,.833,19,0,205,Charles Bassey,23,31,63,C,32,8,,.000,1,0,76,15,39,29,.744
20,10,2,13,.408,49,15,.306,4,1,.250,15,0,133,Emoni Bates,1,5,41,SF,33,1,,.303,33,10,14,8,16,5,.313
28,38,22,79,.497,166,72,.434,42,32,.762,53,8,665,Keita Bates-Diop,31,35,197,SF,34,25,TOT,.304,69,21,110,15,97,51,.526
23,,,,.483,,,.411,,,.661,78,28,,Ochai Agbaji,,,,SG,3,,TOT,.294,,,,,,,.523
23,,,,.520,,,.426,,,.750,51,10,,Ochai Agbaji,,,,SG,3,,,.331,,,,,,,.551
23,,,,.432,,,.391,,,.611,27,18,,Ochai Agbaji,,,,SG,3,,,.217,,,,,,,.496
26,,,,,,,.489,,,.717,27,27,900,OG Anunoby,,,,SF,14,,,.374,,,,,,,.608
26,,,,,,,.488,,,.791,23,23,802,OG Anunoby,,,,SF,14,,,.394,,,,,,,.553
29,,,,,,,.000,,,,20,0,45,Ryan Arcidiacono,,,,PG,15,,,.000,,,,,,,
28,34,20,71,.493,150,64,.427,36,26,.722,39,8,597,Keita Bates-Diop,30,33,174,SF,34,22,,.313,64,20,101,13,86,44,.512
28,4,2,8,.531,16,8,.500,6,6,1.000,14,0,68,Keita Bates-Diop,1,2,23,SF,34,3,,.200,5,1,9,2,11,7,.636
23,,,,.528,,,.435,,,.621,61,35,,Santi Aldama,,,,PF,4,,,.349,,,,,,,.534
25,,,,.560,,,.439,,,.800,82,20,,Nickeil Alexander-Walker,,,,SG,5,,,.391,,,,,,,.517
23,,,,,,,.506,,,.740,75,75,2257,Deni Avdija,,,,SF,16,,,.374,,,,,,,.560
25,,,,,,,.570,,,.823,55,55,1784,Deandre Ayton,,,,C,17,,,.100,,,,,,,.576
35,128,38,178,.596,256,116,.453,21,15,.714,60,38,1529,Nicolas Batum,70,109,320,PF,35,48,TOT,.395,185,73,248,40,71,43,.606
35,5,4,7,.500,8,3,.375,0,0,,3,0,54,Nicolas Batum,0,5,8,PF,35,3,,.286,7,2,7,1,1,1,1.000
35,123,34,171,.599,248,113,.456,21,15,.714,57,38,1475,Nicolas Batum,70,104,312,PF,35,45,,.399,178,71,241,39,70,42,.600
28,,,,.649,,,.499,,,.878,75,74,,Grayson Allen,,,,SG,6,,,.461,,,,,,,.570
25,,,,.634,,,.634,,,.742,77,77,,Jarrett Allen,,,,C,7,,,.000,,,,,,,.638
24,,,,,,,.696,,,.231,16,0,113,Udoka Azubuike,,,,C,18,,,,,,,,,,.696
21,,,,,,,.636,,,.500,22,1,226,Ibou Badji,,,,C,19,,,,,,,,,,.636
23,7,7,20,.633,30,18,.600,12,10,.833,9,0,152,Darius Bazley,8,3,48,PF,36,6,TOT,.250,8,2,28,8,22,16,.727
23,2,0,1,.000,1,0,.000,0,0,,3,0,10,Darius Bazley,0,0,0,PF,36,0,,,0,0,1,1,1,0,.000
24,,,,.261,,,.261,,,.500,5,0,,Timmy Allen,,,,SF,8,,,.000,,,,,,,.375
25,,,,.525,,,.412,,,.673,56,0,,Jose Alvarado,,,,PG,9,,,.377,,,,,,,.464
30,,,,.472,,,.460,,,.708,79,10,,Kyle Anderson,,,,PF,10,,,.229,,,,,,,.488
24,,,,,,,.586,,,.762,50,25,1053,Marvin Bagley III,,,,C,20,,TOT,.391,,,,,,,.597
24,,,,,,,.591,,,.820,26,10,478,Marvin Bagley III,,,,C,20,,,.167,,,,,,,.606
24,,,,,,,.581,,,.708,24,15,575,Marvin Bagley III,,,,C,20,,,.471,,,,,,,.590
23,5,7,19,.655,29,18,.621,12,10,.833,6,0,142,Darius Bazley,8,3,48,PF,36,6,,.250,8,2,27,7,21,16,.762
30,265,27,178,.582,735,377,.513,134,109,.813,53,53,1767,Bradley Beal,54,127,964,SG,37,52,,.430,235,101,232,131,500,276,.552
29,,,,.624,,,.611,,,.657,73,73,,Giannis Antetokounmpo,,,,PF,11,,,.274,,,,,,,.645
31,,,,.533,,,.533,,,.000,34,0,,Thanasis Antetokounmpo,,,,PF,12,,,.000,,,,,,,.552
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
19,,,,,,,.333,,,.857,10,0,65,Amari Bailey,,,,PG,21,,,.125,,,,,,,.438
21,,,,,,,.381,,,.679,38,7,493,Patrick Baldwin Jr.,,,,SF,22,,,.320,,,,,,,.483
27,108,9,249,.598,722,320,.443,35,25,.714,79,77,2337,Malik Beasley,41,158,889,SG,38,59,,.413,542,224,290,54,180,96,.533
23,31,7,77,.578,166,81,.488,28,19,.679,48,1,608,MarJon Beauchamp,22,54,211,SF,39,13,,.400,75,30,99,27,91,51,.560
23,,,,.496,,,.435,,,.826,81,0,,Cole Anthony,,,,PG,13,,,.338,,,,,,,.490
26,,,,.577,,,.489,,,.753,50,50,,OG Anunoby,,,,SF,14,,TOT,.382,,,,,,,.581
22,,,,,,,.433,,,.865,22,22,711,LaMelo Ball,,,,PG,23,,,.355,,,,,,,.500
25,,,,,,,.490,,,.680,57,17,740,Mo Bamba,,,,C,24,,,.391,,,,,,,.537
24,16,1,16,.539,64,29,.453,9,5,.556,19,0,149,Jules Bernard,10,14,74,SG,40,3,,.379,29,11,26,8,35,18,.514
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
31,35,12,52,.556,234,92,.393,33,30,.909,43,1,674,Dāvis Bertāns,9,56,290,PF,41,26,TOT,.380,200,76,61,18,34,16,.471
26,,,,.584,,,.489,,,.717,27,27,,OG Anunoby,,,,SF,14,,,.374,,,,,,,.608
26,,,,.568,,,.488,,,.791,23,23,,OG Anunoby,,,,SF,14,,,.394,,,,,,,.553
21,,,,,,,.455,,,.725,80,80,2799,Paolo Banchero,,,,PF,25,,,.339,,,,,,,.493
25,,,,,,,.464,,,.870,42,42,1443,Desmond Bane,,,,SG,26,,,.381,,,,,,,.536
31,9,3,8,.577,26,10,.385,15,14,.933,15,0,91,Dāvis Bertāns,2,10,44,PF,41,3,,.417,24,10,10,1,2,0,.000
31,26,9,44,.553,208,82,.394,18,16,.889,28,1,583,Dāvis Bertāns,7,46,246,PF,41,23,,.375,176,66,51,17,32,16,.500
29,,,,.000,,,.000,,,,20,0,,Ryan Arcidiacono,,,,PG,15,,,.000,,,,,,,
23,,,,.560,,,.506,,,.740,75,75,,Deni Avdija,,,,SF,16,,,.374,,,,,,,.560
24,,,,,,,.404,,,.783,54,9,1047,Dalano Banton,,,,PG,27,,TOT,.296,,,,,,,.475
24,,,,,,,.373,,,.800,24,1,171,Dalano Banton,,,,PG,27,,,.125,,,,,,,.486
35,212,31,190,.497,379,158,.417,90,74,.822,73,13,1462,Patrick Beverley,49,128,451,PG,42,43,TOT,.337,181,61,239,65,198,97,.490
35,144,18,115,.504,241,104,.432,63,51,.810,47,5,919,Patrick Beverley,30,83,294,PG,42,24,,.321,109,35,145,49,132,69,.523
25,,,,.571,,,.570,,,.823,55,55,,Deandre Ayton,,,,C,17,,,.100,,,,,,,.576
24,,,,.696,,,.696,,,.231,16,0,,Udoka Azubuike,,,,C,18,,,,,,,,,,.696
24,,,,,,,.408,,,.780,30,8,876,Dalano Banton,,,,PG,27,,,.311,,,,,,,.474
20,,,,,,,.496,,,.690,33,1,420,Dominick Barlow,,,,PF,28,,,.333,,,,,,,.510
35,68,13,75,.486,138,54,.391,27,23,.852,26,8,543,Patrick Beverley,19,45,157,PG,42,19,,.361,72,26,94,16,66,28,.424
24,92,11,244,.497,697,290,.416,203,170,.837,63,51,2062,Saddiq Bey,167,88,863,SF,43,51,,.316,358,113,411,54,339,177,.522
21,,,,.636,,,.636,,,.500,22,1,,Ibou Badji,,,,C,19,,,,,,,,,,.636
