age,assists,blocks,defensive_rebound,effective_field_goal_percentage,field_goal_attempts,field_goal_made,field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_percentage,games_played,games_started,minutes_played,name,offensive_rebound,personal_fouls,points,position,ranking,steals,team,three_pt_percentage,three_pts_attempts,three_pts_made,total_rebound,turnover,two_pts_attempts,two_pts_made,two_pts_percentage
24,,,,,,,.556,,,1.000,4,0,51,David Duke Jr.,,,,SG,135,,,.500,,,,,,,.583
29,,,,,,,.470,,,.688,66,32,1249,Kris Dunn,,,,PG,136,,,.369,,,,,,,.525
35,,,,,,,.523,,,.856,75,75,2791,Kevin Durant,,,,PF,137,,,.413,,,,,,,.567
28,73,18,124,.577,358,161,.450,40,32,.800,50,34,1160,Simone Fontecchio,52,81,445,SF,151,30,,.391,233,91,176,51,125,70,.560
28,28,5,58,.592,190,91,.479,26,22,.846,16,9,484,Simone Fontecchio,12,29,247,SF,151,14,,.426,101,43,70,17,89,48,.539
27,,,,.667,,,.667,,,.667,6,0,,Mamadi Diakite,,,,PF,122,,TOT,.000,,,,,,,.800
27,,,,.800,,,.800,,,.667,3,0,,Mamadi Diakite,,,,PF,122,,,,,,,,,,.800
20,,,,,,,.619,,,.790,61,60,1777,Jalen Duren,,,,C,138,,,.000,,,,,,,.623
22,,,,,,,.466,,,.636,22,0,480,Tari Eason,,,,PF,139,,,.360,,,,,,,.504
25,2,0,2,.714,7,4,.571,2,2,1.000,6,0,22,Jordan Ford,0,0,12,PG,152,0,,.667,3,2,2,1,4,2,.500
25,92,3,40,.389,90,34,.378,17,13,.765,38,0,414,Trent Forrest,11,25,83,SG,153,11,,.200,10,2,51,20,80,32,.400
27,,,,.000,,,.000,,,,3,0,,Mamadi Diakite,,,,PF,122,,,.000,,,,,,,
25,,,,.500,,,.500,,,,2,0,,Hamidou Diallo,,,,SG,123,,,,,,,,,,.500
22,,,,,,,.461,,,.836,79,78,2770,Anthony Edwards,,,,SG,140,,,.357,,,,,,,.515
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
23,,,,,,,.415,,,.556,54,0,275,Kessler Edwards,,,,SF,141,,,.385,,,,,,,.467
31,48,7,53,.432,221,79,.357,36,29,.806,32,0,580,Evan Fournier,5,48,220,SG,154,29,TOT,.254,130,33,58,21,91,46,.505
31,3,0,4,.250,20,4,.200,2,2,1.000,3,0,39,Evan Fournier,0,4,12,SG,154,4,,.133,15,2,4,1,5,2,.400
31,45,7,49,.450,201,75,.373,34,27,.794,29,0,541,Evan Fournier,5,44,208,SG,154,25,,.270,115,31,54,20,86,44,.512
20,,,,.524,,,.425,,,.863,60,17,,Gradey Dick,,,,SG,124,,,.365,,,,,,,.495
20,,,,.513,,,.422,,,.875,33,0,,Ousmane Dieng,,,,PF,125,,,.300,,,,,,,.609
30,,,,.489,,,.392,,,.805,76,52,,Spencer Dinwiddie,,,,PG,126,,TOT,.337,,,,,,,.467
24,,,,,,,.461,,,.743,57,21,978,Keon Ellis,,,,SG,142,,,.417,,,,,,,.578
29,,,,,,,.529,,,.883,39,39,1309,Joel Embiid,,,,C,143,,,.388,,,,,,,.556
26,418,31,273,.534,1549,720,.465,423,312,.738,74,74,2659,De'Aaron Fox,67,193,1966,PG,155,150,,.369,580,214,340,194,969,506,.522
24,40,4,54,.484,124,55,.444,36,33,.917,22,6,403,Javon Freeman-Liberty,16,28,153,PG,156,10,,.238,42,10,70,25,82,45,.549
30,,,,.480,,,.391,,,.781,48,48,,Spencer Dinwiddie,,,,PG,126,,,.320,,,,,,,.480
30,,,,.521,,,.397,,,.880,28,4,,Spencer Dinwiddie,,,,PG,126,,,.389,,,,,,,.412
26,,,,,,,.601,,,.774,75,6,1169,Drew Eubanks,,,,C,144,,,1.000,,,,,,,.596
22,,,,,,,.507,,,.680,17,8,367,Tosan Evbuomwan,,,,SF,145,,TOT,.375,,,,,,,.615
22,,,,,,,.267,,,,4,0,74,Tosan Evbuomwan,,,,SF,145,,,.250,,,,,,,.286
20,0,0,1,.433,15,6,.400,2,2,1.000,6,0,40,Alex Fudge,4,2,15,SF,157,3,TOT,.200,5,1,5,2,10,5,.500
27,,,,.584,,,.443,,,.754,81,63,,Donte DiVincenzo,,,,SG,127,,,.401,,,,,,,.542
24,,,,.573,,,.487,,,.786,70,70,,Luka Dončić,,,,PG,128,,,.382,,,,,,,.573
24,,,,.557,,,.438,,,.826,79,79,,Luguentz Dort,,,,SF,129,,,.394,,,,,,,.506
22,,,,,,,.571,,,.680,13,8,293,Tosan Evbuomwan,,,,SF,145,,,.417,,,,,,,.688
28,,,,,,,.533,,,.779,55,17,1088,Dante Exum,,,,PG,146,,,.491,,,,,,,.557
25,,,,,,,.583,,,.667,45,2,682,Bruno Fernando,,,,C,147,,,.000,,,,,,,.596
20,0,0,0,.167,6,1,.167,2,2,1.000,4,0,14,Alex Fudge,2,1,4,SF,157,0,,.000,2,0,2,1,4,1,.250
20,0,0,1,.611,9,5,.556,0,0,,2,0,26,Alex Fudge,2,1,11,SF,157,3,,.333,3,1,3,1,6,4,.667
24,,,,.583,,,.501,,,.810,76,37,,Ayo Dosunmu,,,,SG,130,,,.403,,,,,,,.568
26,,,,.681,,,.556,,,.750,12,0,,Jeff Dowtin,,,,PG,131,,,.474,,,,,,,.647
30,,,,,,,.421,,,.717,68,56,1934,Dorian Finney-Smith,,,,PF,148,,,.348,,,,,,,.560
24,,,,,,,.143,,,,2,0,14,Adam Flagler,,,,SG,149,,,.167,,,,,,,.000
25,120,15,82,.479,326,154,.472,33,23,.697,43,18,910,Markelle Fultz,56,65,335,PG,158,42,,.222,18,4,138,50,308,150,.487
24,0,1,0,.000,4,0,.000,0,0,,5,0,13,Andrew Funk,0,0,0,SG,159,1,,.000,3,0,0,0,1,0,.000
23,,,,.500,,,.400,,,.500,4,0,,Henri Drell,,,,SF,132,,,.333,,,,,,,.500
30,,,,.556,,,.556,,,.592,79,10,,Andre Drummond,,,,C,133,,,.000,,,,,,,.560
25,,,,,,,.418,,,.732,69,0,876,Malachi Flynn,,,,PG,150,,TOT,.331,,,,,,,.513
25,,,,,,,.409,,,.773,31,0,474,Malachi Flynn,,,,PG,150,,,.350,,,,,,,.491
26,3,2,18,.386,22,8,.364,5,0,.000,5,0,81,Wenyen Gabriel,7,10,17,PF,160,2,,.167,6,1,25,8,16,7,.438
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
25,115,153,367,.725,480,348,.725,175,118,.674,74,66,1815,Daniel Gafford,195,227,814,C-PF,161,65,TOT,,0,0,562,74,480,348,.725
26,,,,.486,,,.381,,,.788,59,11,,Chris Duarte,,,,SF,134,,,.346,,,,,,,.434
24,,,,.639,,,.556,,,1.000,4,0,,David Duke Jr.,,,,SG,135,,,.500,,,,,,,.583
25,,,,,,,.391,,,.818,14,0,60,Malachi Flynn,,,,PG,150,,,.308,,,,,,,.500
25,,,,,,,.430,,,.684,24,0,342,Malachi Flynn,,,,PG,150,,,.316,,,,,,,.528
25,69,97,230,.690,294,203,.690,119,84,.706,45,45,1192,Daniel Gafford,131,147,490,C,161,44,,,0,0,361,46,294,203,.690
25,46,56,137,.780,186,145,.780,56,34,.607,29,21,623,Daniel Gafford,64,80,324,PF,161,21,,,0,0,201,28,186,145,.780
29,,,,.535,,,.470,,,.688,66,32,,Kris Dunn,,,,PG,136,,,.369,,,,,,,.525
35,,,,.581,,,.523,,,.856,75,75,,Kevin Durant,,,,PF,137,,,.413,,,,,,,.567
28,,,,,,,.460,,,.818,66,43,1644,Simone Fontecchio,,,,SF,151,,TOT,.401,,,,,,,.551
28,,,,,,,.450,,,.800,50,34,1160,Simone Fontecchio,,,,SF,151,,,.391,,,,,,,.560
35,55,6,88,.516,190,83,.437,98,84,.857,49,0,630,Danilo Gallinari,20,50,280,PF-SF,162,14,TOT,.323,93,30,108,23,97,53,.546
35,31,3,64,.511,131,57,.435,56,47,.839,26,0,385,Danilo Gallinari,12,26,181,PF,162,6,,.313,64,20,76,12,67,37,.552
35,12,2,12,.705,22,12,.545,24,21,.875,6,0,90,Danilo Gallinari,2,9,52,SF,162,2,,.583,12,7,14,1,10,5,.500
20,,,,.619,,,.619,,,.790,61,60,,Jalen Duren,,,,C,138,,,.000,,,,,,,.623
22,,,,.513,,,.466,,,.636,22,0,,Tari Eason,,,,PF,139,,,.360,,,,,,,.504
28,,,,,,,.479,,,.846,16,9,484,Simone Fontecchio,,,,SF,151,,,.426,,,,,,,.539
25,,,,,,,.571,,,1.000,6,0,22,Jordan Ford,,,,PG,152,,,.667,,,,,,,.500
35,12,1,12,.419,37,14,.378,18,16,.889,17,0,155,Danilo Gallinari,6,15,47,SF,162,6,,.176,17,3,18,10,20,11,.550
24,373,7,122,.524,841,375,.446,175,146,.834,57,57,1901,Darius Garland,30,95,1028,PG,163,74,,.371,356,132,152,176,485,243,.501
22,,,,.522,,,.461,,,.836,79,78,,Anthony Edwards,,,,SG,140,,,.357,,,,,,,.515
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
23,,,,.537,,,.415,,,.556,54,0,,Kessler Edwards,,,,SF,141,,,.385,,,,,,,.467
25,,,,,,,.378,,,.765,38,0,414,Trent Forrest,,,,SG,153,,,.200,,,,,,,.400
31,,,,,,,.357,,,.806,32,0,580,Evan Fournier,,,,SG,154,,TOT,.254,,,,,,,.505
21,1,3,4,.167,6,1,.167,2,1,.500,6,0,18,Usman Garuba,3,2,3,PF,164,1,,.000,1,0,7,2,5,1,.200
25,4,1,12,.540,75,36,.480,25,18,.720,25,0,122,Luka Garza,19,24,99,C,165,4,,.281,32,9,31,6,43,27,.628
24,,,,.612,,,.461,,,.743,57,21,,Keon Ellis,,,,SG,142,,,.417,,,,,,,.578
29,,,,.561,,,.529,,,.883,39,39,,Joel Embiid,,,,C,143,,,.388,,,,,,,.556
31,,,,,,,.200,,,1.000,3,0,39,Evan Fournier,,,,SG,154,,,.133,,,,,,,.400
31,,,,,,,.373,,,.794,29,0,541,Evan Fournier,,,,SG,154,,,.270,,,,,,,.512
27,0,0,1,.000,4,0,.000,0,0,,1,0,7,Kaiser Gates,0,0,0,SF,166,0,,.000,2,0,1,0,2,0,.000
20,332,7,196,.482,815,319,.391,223,189,.848,75,44,2023,Keyonte George,15,91,974,PG,167,36,,.334,440,147,211,188,375,172,.459
26,,,,.607,,,.601,,,.774,75,6,,Drew Eubanks,,,,C,144,,,1.000,,,,,,,.596
22,,,,.592,,,.507,,,.680,17,8,,Tosan Evbuomwan,,,,SF,145,,TOT,.375,,,,,,,.615
26,,,,,,,.465,,,.738,74,74,2659,De'Aaron Fox,,,,PG,155,,,.369,,,,,,,.522
24,,,,,,,.444,,,.917,22,6,403,Javon Freeman-Liberty,,,,PG,156,,,.238,,,,,,,.549
20,,,,,,,.400,,,1.000,6,0,40,Alex Fudge,,,,SF,157,,TOT,.200,,,,,,,.500
33,262,37,351,.569,1236,582,.471,291,264,.907,74,74,2502,Paul George,37,202,1671,PF,168,113,,.413,588,243,388,153,648,339,.523
38,11,7,25,.432,37,15,.405,2,2,1.000,20,1,204,Taj Gibson,12,31,34,PF,169,3,TOT,.200,10,2,37,5,27,13,.481
22,,,,.333,,,.267,,,,4,0,,Tosan Evbuomwan,,,,SF,145,,,.250,,,,,,,.286
22,,,,.661,,,.571,,,.680,13,8,,Tosan Evbuomwan,,,,SF,145,,,.417,,,,,,,.688
20,,,,,,,.167,,,1.000,4,0,14,Alex Fudge,,,,SF,157,,,.000,,,,,,,.250
20,,,,,,,.556,,,,2,0,26,Alex Fudge,,,,SF,157,,,.333,,,,,,,.667
38,9,6,18,.304,23,7,.304,2,2,1.000,16,1,165,Taj Gibson,10,28,16,PF,169,2,,.000,6,0,28,5,17,7,.412
38,2,1,7,.643,14,8,.571,0,0,,4,0,39,Taj Gibson,2,3,18,PF,169,1,,.500,4,2,9,0,10,6,.600
28,,,,.621,,,.533,,,.779,55,17,,Dante Exum,,,,PG,146,,,.491,,,,,,,.557
25,,,,.583,,,.583,,,.667,45,2,,Bruno Fernando,,,,C,147,,,.000,,,,,,,.596
25,,,,,,,.472,,,.697,43,18,910,Markelle Fultz,,,,PG,158,,,.222,,,,,,,.487
24,,,,,,,.000,,,,5,0,13,Andrew Funk,,,,SG,159,,,.000,,,,,,,.000
21,386,44,403,.523,847,402,.475,124,100,.806,80,80,2011,Josh Giddey,111,111,986,SG,170,51,,.337,243,82,514,168,604,320,.530
25,6,3,18,.490,50,23,.460,13,7,.538,23,0,100,Harry Giles,12,15,56,C,171,2,TOT,.214,14,3,30,6,36,20,.556
30,,,,.535,,,.421,,,.717,68,56,,Dorian Finney-Smith,,,,PF,148,,,.348,,,,,,,.560
24,,,,.214,,,.143,,,,2,0,,Adam Flagler,,,,SG,149,,,.167,,,,,,,.000
26,,,,,,,.364,,,.000,5,0,81,Wenyen Gabriel,,,,PF,160,,,.167,,,,,,,.438
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
25,,,,,,,.725,,,.674,74,66,1815,Daniel Gafford,,,,C-PF,161,,TOT,,,,,,,,.725
25,6,3,14,.534,44,22,.500,13,7,.538,16,0,81,Harry Giles,12,15,54,C,171,1,,.273,11,3,26,6,33,19,.576
25,0,0,4,.167,6,1,.167,0,0,,7,0,19,Harry Giles,0,0,2,C,171,1,,.000,3,0,4,0,3,1,.333
25,,,,.505,,,.418,,,.732,69,0,,Malachi Flynn,,,,PG,150,,TOT,.331,,,,,,,.513
25,,,,.511,,,.409,,,.773,31,0,,Malachi Flynn,,,,PG,150,,,.350,,,,,,,.491
25,,,,,,,.690,,,.706,45,45,1192,Daniel Gafford,,,,C,161,,,,,,,,,,.690
25,,,,,,,.780,,,.607,29,21,623,Daniel Gafford,,,,PF,161,,,,,,,,,,.780
25,465,67,350,.567,1487,796,.535,649,567,.874,75,75,2553,Shai Gilgeous-Alexander,65,184,2254,PG,172,150,,.353,269,95,415,162,1218,701,.576
31,34,11,57,.500,160,75,.469,36,29,.806,50,3,466,Anthony Gill,37,48,189,PF,173,13,,.244,41,10,94,23,119,65,.546
24,27,0,20,.572,69,32,.464,12,8,.667,24,0,225,Collin Gillespie,1,24,87,PG,174,13,,.395,38,15,21,14,31,17,.548
25,,,,.478,,,.391,,,.818,14,0,,Malachi Flynn,,,,PG,150,,,.308,,,,,,,.500
25,,,,.503,,,.430,,,.684,24,0,,Malachi Flynn,,,,PG,150,,,.316,,,,,,,.528
35,,,,,,,.437,,,.857,49,0,630,Danilo Gallinari,,,,PF-SF,162,,TOT,.323,,,,,,,.546
35,,,,,,,.435,,,.839,26,0,385,Danilo Gallinari,,,,PF,162,,,.313,,,,,,,.552
25,137,5,37,.570,150,60,.400,2,2,1.000,41,14,699,Jacob Gilyard,9,39,173,PG,175,33,TOT,.405,126,51,46,30,24,9,.375
25,131,5,35,.594,144,60,.417,2,2,1.000,37,14,654,Jacob Gilyard,8,35,173,PG,175,27,,.425,120,51,43,29,24,9,.375
28,,,,.582,,,.460,,,.818,66,43,,Simone Fontecchio,,,,SF,151,,TOT,.401,,,,,,,.551
28,,,,.577,,,.450,,,.800,50,34,,Simone Fontecchio,,,,SF,151,,,.391,,,,,,,.560
35,,,,,,,.545,,,.875,6,0,90,Danilo Gallinari,,,,SF,162,,,.583,,,,,,,.500
35,,,,,,,.378,,,.889,17,0,155,Danilo Gallinari,,,,SF,162,,,.176,,,,,,,.550
25,6,0,2,.000,6,0,.000,0,0,,4,0,45,Jacob Gilyard,1,4,0,PG,175,6,,.000,6,0,3,1,0,0,
31,102,162,697,.661,614,406,.661,390,249,.638,76,76,2593,Rudy Gobert,285,238,1061,C,176,52,,.000,3,0,982,118,611,406,.664
28,,,,.592,,,.479,,,.846,16,9,,Simone Fontecchio,,,,SF,151,,,.426,,,,,,,.539
25,,,,.714,,,.571,,,1.000,6,0,,Jordan Ford,,,,PG,152,,,.667,,,,,,,.500
24,,,,,,,.446,,,.834,57,57,1901,Darius Garland,,,,PG,163,,,.371,,,,,,,.501
21,,,,,,,.167,,,.500,6,0,18,Usman Garuba,,,,PF,164,,,.000,,,,,,,.200
25,155,18,165,.424,382,141,.369,59,44,.746,57,12,1055,Jordan Goodwin,88,76,368,PG,177,48,TOT,.298,141,42,253,56,241,99,.411
25,78,9,77,.448,193,75,.389,29,25,.862,40,0,558,Jordan Goodwin,40,43,198,PG,177,23,,.288,80,23,117,29,113,52,.460
25,,,,.389,,,.378,,,.765,38,0,,Trent Forrest,,,,SG,153,,,.200,,,,,,,.400
31,,,,.432,,,.357,,,.806,32,0,,Evan Fournier,,,,SG,154,,TOT,.254,,,,,,,.505
31,,,,.250,,,.200,,,1.000,3,0,,Evan Fournier,,,,SG,154,,,.133,,,,,,,.400
25,,,,,,,.480,,,.720,25,0,122,Luka Garza,,,,C,165,,,.281,,,,,,,.628
27,,,,,,,.000,,,,1,0,7,Kaiser Gates,,,,SF,166,,,.000,,,,,,,.000
20,,,,,,,.391,,,.848,75,44,2023,Keyonte George,,,,PG,167,,,.334,,,,,,,.459
25,77,9,88,.399,189,66,.349,30,19,.633,17,12,497,Jordan Goodwin,48,33,170,PG,177,25,,.311,61,19,136,27,128,47,.367
28,259,45,297,.584,716,398,.556,269,177,.658,73,73,2297,Aaron Gordon,174,142,1013,PF,178,56,,.290,138,40,471,105,578,358,.619
35,139,30,106,.565,618,274,.443,64,51,.797,68,24,1893,Eric Gordon,16,79,749,SG,179,66,,.378,397,150,122,73,221,124,.561
31,,,,.450,,,.373,,,.794,29,0,,Evan Fournier,,,,SG,154,,,.270,,,,,,,.512
26,,,,.534,,,.465,,,.738,74,74,,De'Aaron Fox,,,,PG,155,,,.369,,,,,,,.522
33,,,,,,,.471,,,.907,74,74,2502,Paul George,,,,PF,168,,,.413,,,,,,,.523
38,,,,,,,.405,,,1.000,20,1,204,Taj Gibson,,,,PF,169,,TOT,.200,,,,,,,.481
38,,,,,,,.304,,,1.000,16,1,165,Taj Gibson,,,,PF,169,,,.000,,,,,,,.412
28,49,2,31,.468,108,38,.352,16,13,.813,23,0,313,Devonte' Graham,5,14,114,PG,180,9,,.301,83,25,36,17,25,13,.520
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
24,,,,.484,,,.444,,,.917,22,6,,Javon Freeman-Liberty,,,,PG,156,,,.238,,,,,,,.549
20,,,,.433,,,.400,,,1.000,6,0,,Alex Fudge,,,,SF,157,,TOT,.200,,,,,,,.500
20,,,,.167,,,.167,,,1.000,4,0,,Alex Fudge,,,,SF,157,,,.000,,,,,,,.250
38,,,,,,,.571,,,,4,0,39,Taj Gibson,,,,PF,169,,,.500,,,,,,,.600
21,,,,,,,.475,,,.806,80,80,2011,Josh Giddey,,,,SG,170,,,.337,,,,,,,.530
29,152,34,154,.516,850,383,.451,312,255,.817,54,54,1830,Jerami Grant,37,117,1132,PF,181,45,,.402,276,111,191,116,574,272,.474
24,6,1,5,.676,17,10,.588,0,0,,3,0,39,RaiQuan Gray,2,0,23,PF,182,1,,.429,7,3,7,1,10,7,.700
20,,,,.611,,,.556,,,,2,0,,Alex Fudge,,,,SF,157,,,.333,,,,,,,.667
25,,,,.479,,,.472,,,.697,43,18,,Markelle Fultz,,,,PG,158,,,.222,,,,,,,.487
25,,,,,,,.460,,,.538,23,0,100,Harry Giles,,,,C,171,,TOT,.214,,,,,,,.556
25,,,,,,,.500,,,.538,16,0,81,Harry Giles,,,,C,171,,,.273,,,,,,,.576
25,,,,,,,.167,,,,7,0,19,Harry Giles,,,,C,171,,,.000,,,,,,,.333
24,30,4,55,.599,196,83,.423,19,17,.895,56,0,614,A.J. Green,9,49,252,SG,183,9,,.408,169,69,64,12,27,14,.519
36,1,0,2,.000,2,0,.000,0,0,,2,0,18,Danny Green,0,1,0,SG,184,1,,.000,1,0,2,0,1,0,.000
24,,,,.000,,,.000,,,,5,0,,Andrew Funk,,,,SG,159,,,.000,,,,,,,.000
26,,,,.386,,,.364,,,.000,5,0,,Wenyen Gabriel,,,,PF,160,,,.167,,,,,,,.438
25,,,,,,,.535,,,.874,75,75,2553,Shai Gilgeous-Alexander,,,,PG,172,,,.353,,,,,,,.576
31,,,,,,,.469,,,.806,50,3,466,Anthony Gill,,,,PF,173,,,.244,,,,,,,.546
33,332,47,322,.566,372,185,.497,74,54,.730,55,52,1490,Draymond Green,76,166,475,PF,185,55,,.395,129,51,398,135,243,134,.551
21,291,28,382,.498,1332,563,.423,352,283,.804,82,82,2601,Jalen Green,41,115,1610,SG,186,66,,.332,605,201,423,191,727,362,.498
30,5,8,47,.667,75,45,.600,13,10,.769,9,5,230,Javonte Green,20,19,110,SF,187,10,,.370,27,10,67,7,48,35,.729
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
25,,,,.725,,,.725,,,.674,74,66,,Daniel Gafford,,,,C-PF,161,,TOT,,,,,,,,.725
25,,,,.690,,,.690,,,.706,45,45,,Daniel Gafford,,,,C,161,,,,,,,,,,.690
24,,,,,,,.464,,,.667,24,0,225,Collin Gillespie,,,,PG,174,,,.395,,,,,,,.548
25,,,,,,,.400,,,1.000,41,14,699,Jacob Gilyard,,,,PG,175,,TOT,.405,,,,,,,.375
37,70,31,132,.529,366,167,.456,149,122,.819,78,6,1307,Jeff Green,46,100,509,PF,188,16,,.331,160,53,178,46,206,114,.553
23,130,9,144,.575,374,179,.479,57,39,.684,57,33,1505,Josh Green,40,107,469,SG,189,47,,.385,187,72,184,60,187,107,.572
25,,,,.780,,,.780,,,.607,29,21,,Daniel Gafford,,,,PF,161,,,,,,,,,,.780
35,,,,.516,,,.437,,,.857,49,0,,Danilo Gallinari,,,,PF-SF,162,,TOT,.323,,,,,,,.546
25,,,,,,,.417,,,1.000,37,14,654,Jacob Gilyard,,,,PG,175,,,.425,,,,,,,.375
25,,,,,,,.000,,,,4,0,45,Jacob Gilyard,,,,PG,175,,,.000,,,,,,,
20,5,2,16,.371,62,18,.290,2,2,1.000,20,0,171,AJ Griffin,2,6,48,SF,190,1,,.256,39,10,18,8,23,8,.348
23,66,7,85,.495,328,122,.372,45,34,.756,51,18,1025,Quentin Grimes,15,75,359,SG,191,35,TOT,.338,240,81,100,28,88,41,.466
35,,,,.511,,,.435,,,.839,26,0,,Danilo Gallinari,,,,PF,162,,,.313,,,,,,,.552
35,,,,.705,,,.545,,,.875,6,0,,Danilo Gallinari,,,,SF,162,,,.583,,,,,,,.500
31,,,,,,,.661,,,.638,76,76,2593,Rudy Gobert,,,,C,176,,,.000,,,,,,,.664
25,,,,,,,.369,,,.746,57,12,1055,Jordan Goodwin,,,,PG,177,,TOT,.298,,,,,,,.411
25,,,,,,,.389,,,.862,40,0,558,Jordan Goodwin,,,,PG,177,,,.288,,,,,,,.460
23,52,3,74,.530,286,113,.395,34,24,.706,45,18,910,Quentin Grimes,14,66,327,SG,191,30,,.363,212,77,88,21,74,36,.486
23,14,4,11,.262,42,9,.214,11,10,.909,6,0,115,Quentin Grimes,1,9,32,SG,191,5,,.143,28,4,12,7,14,5,.357
35,,,,.419,,,.378,,,.889,17,0,,Danilo Gallinari,,,,SF,162,,,.176,,,,,,,.550
24,,,,.524,,,.446,,,.834,57,57,,Darius Garland,,,,PG,163,,,.371,,,,,,,.501
25,,,,,,,.349,,,.633,17,12,497,Jordan Goodwin,,,,PG,177,,,.311,,,,,,,.367
28,,,,,,,.556,,,.658,73,73,2297,Aaron Gordon,,,,PF,178,,,.290,,,,,,,.619
25,5,18,11,.289,38,11,.289,9,4,.444,11,0,120,Mouhamadou Gueye,12,15,26,PF,192,3,,.000,3,0,23,12,35,11,.314
21,4,4,12,.413,23,8,.348,6,5,.833,6,0,73,Mouhamed Gueye,10,13,24,PF,193,5,,.333,9,3,22,1,14,5,.357
21,,,,.167,,,.167,,,.500,6,0,,Usman Garuba,,,,PF,164,,,.000,,,,,,,.200
25,,,,.540,,,.480,,,.720,25,0,,Luka Garza,,,,C,165,,,.281,,,,,,,.628
35,,,,,,,.443,,,.797,68,24,1893,Eric Gordon,,,,SG,179,,,.378,,,,,,,.561
28,,,,,,,.352,,,.813,23,0,313,Devonte' Graham,,,,PG,180,,,.301,,,,,,,.520
25,81,25,236,.609,676,363,.537,134,99,.739,68,39,1826,Rui Hachimura,58,101,923,PF,194,41,,.422,232,98,294,46,444,265,.597
24,54,9,31,.465,71,29,.408,17,14,.824,19,1,316,Ashton Hagans,14,40,80,PG,195,11,,.320,25,8,45,30,46,21,.457
27,,,,.000,,,.000,,,,1,0,,Kaiser Gates,,,,SF,166,,,.000,,,,,,,.000
20,,,,.482,,,.391,,,.848,75,44,,Keyonte George,,,,PG,167,,,.334,,,,,,,.459
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
29,,,,,,,.451,,,.817,54,54,1830,Jerami Grant,,,,PF,181,,,.402,,,,,,,.474
24,,,,,,,.588,,,,3,0,39,RaiQuan Gray,,,,PF,182,,,.429,,,,,,,.700
23,752,48,236,.570,1048,500,.477,227,194,.855,69,68,2224,Tyrese Haliburton,35,75,1389,PG,196,83,,.364,535,195,271,159,513,305,.595
22,8,0,4,.321,14,4,.286,2,1,.500,8,2,76,R.J. Hampton,2,8,10,PG,197,0,,.125,8,1,6,3,6,3,.500
33,,,,.569,,,.471,,,.907,74,74,,Paul George,,,,PF,168,,,.413,,,,,,,.523
38,,,,.432,,,.405,,,1.000,20,1,,Taj Gibson,,,,PF,169,,TOT,.200,,,,,,,.481
24,,,,,,,.423,,,.895,56,0,614,A.J. Green,,,,SG,183,,,.408,,,,,,,.519
36,,,,,,,.000,,,,2,0,18,Danny Green,,,,SG,184,,,.000,,,,,,,.000
31,139,6,232,.510,976,392,.402,169,144,.852,79,12,2120,Tim Hardaway Jr.,22,106,1139,SF,198,42,,.353,597,211,254,69,379,181,.478
34,614,57,335,.541,822,352,.428,344,302,.878,72,72,2470,James Harden,34,127,1192,PG,199,77,,.381,488,186,369,185,334,166,.497
38,,,,.304,,,.304,,,1.000,16,1,,Taj Gibson,,,,PF,169,,,.000,,,,,,,.412
38,,,,.643,,,.571,,,,4,0,,Taj Gibson,,,,PF,169,,,.500,,,,,,,.600
21,,,,.523,,,.475,,,.806,80,80,,Josh Giddey,,,,SG,170,,,.337,,,,,,,.530
33,,,,,,,.497,,,.730,55,52,1490,Draymond Green,,,,PF,185,,,.395,,,,,,,.551
21,,,,,,,.423,,,.804,82,82,2601,Jalen Green,,,,SG,186,,,.332,,,,,,,.498
21,109,4,111,.492,479,195,.407,76,59,.776,73,7,989,Jaden Hardy,20,80,530,SG,200,22,,.362,224,81,131,62,255,114,.447
,,,,,,,,,,,,,,,,,,,Rk,,,,,,,,,,
23,1,0,0,,0,0,,0,0,,1,0,4,Ron Harper Jr.,0,2,0,PF,201,0,,,0,0,0,0,0,0,
25,,,,.490,,,.460,,,.538,23,0,,Harry Giles,,,,C,171,,TOT,.214,,,,,,,.556
30,,,,,,,.600,,,.769,9,5,230,Javonte Green,,,,SF,187,,,.370,,,,,,,.729
29,87,14,67,.569,297,131,.441,45,34,.756,54,27,1297,Gary Harris,24,91,372,SG,202,49,,.371,205,76,91,31,92,55,.598
32,10,2,10,.487,39,14,.359,2,1,.500,16,0,170,Joe Harris,3,19,39,SG,203,3,,.333,30,10,13,4,9,4,.444
25,,,,.534,,,.500,,,.538,16,0,,Harry Giles,,,,C,171,,,.273,,,,,,,.576
25,,,,.167,,,.167,,,,7,0,,Harry Giles,,,,C,171,,,.000,,,,,,,.333
37,,,,,,,.456,,,.819,78,6,1307,Jeff Green,,,,PF,188,,,.331,,,,,,,.553
23,,,,,,,.479,,,.684,57,33,1505,Josh Green,,,,SG,189,,,.385,,,,,,,.572
26,1,0,2,.667,3,2,.667,0,0,,2,0,6,Kevon Harris,0,3,4,SG,204,0,,,0,0,2,1,3,2,.667
